character,base,reason,face_confidence,head_confidence,derived_box07,derived_box08,accepted
avg_npc_2068_1,avg_npc_2068_1$2.png,no_avatar_unreported,0.925,0.6845,"[572, 226, 786, 440]","[567, 224, 783, 441]",False
avg_npc_936_1,avg_npc_936_1$1.png,no_avatar_unreported,0.9931,0.8982,"[468, 29, 642, 203]","[467, 28, 642, 203]",True
avg_npc_1453_1,avg_npc_1453_1$1.png,no_avatar_unreported,0.9613,0.8916,"[418, 41, 578, 201]","[418, 41, 578, 201]",True
avg_npc_1131_1,avg_npc_1131_1$1.png,no_avatar_unreported,0.9978,0.879,"[440, 24, 609, 193]","[441, 24, 609, 193]",True
avg_npc_522_1,avg_npc_522_1$1.png,no_avatar_unreported,0.9861,0.9021,"[431, -14, 601, 157]","[431, -14, 601, 156]",True
avg_npc_1249_1,avg_npc_1249_1$1.png,no_avatar_unreported,0.9995,0.9188,"[424, -19, 612, 169]","[425, -19, 613, 169]",True
avg_npc_535_1,avg_npc_535_1$1.png,no_avatar_unreported,0.9955,0.9099,"[433, -10, 612, 169]","[433, -11, 612, 169]",True
avg_npc_1038_1,avg_npc_1038_1$1.png,no_avatar_unreported,0.251,0.9075,"[371, 7, 548, 184]","[372, 8, 547, 183]",False
avg_npc_001,avg_npc_001.png,no_avatar_unreported,0.9883,0.9074,"[396, 8, 563, 176]","[396, 8, 563, 175]",True
avg_npc_014,avg_npc_014.png,no_avatar_unreported,0.231,0.0259,"[435, 73, 612, 250]","[442, 75, 615, 248]",False
avg_npc_408_1,avg_npc_408_1$1.png,no_avatar_unreported,0.9507,0.9073,"[425, -13, 604, 166]","[426, -13, 604, 165]",True
avg_npc_2321_1,avg_npc_2321_1$2.png,no_avatar_unreported,0.9998,0.9033,"[383, -17, 622, 223]","[382, -17, 622, 223]",True
avg_npc_1251_1,avg_npc_1251_1$1.png,no_avatar_unreported,,0.0041,,,False
avg_npc_1830_1,avg_npc_1830_1$1.png,no_avatar_unreported,0.963,0.8434,"[528, 69, 750, 290]","[528, 69, 750, 290]",True
