character,category,base_file,no_box_reason,face_detected,face_conf,head_detected,head_conf,image_size,match_status,match_threshold,match_box,diff_total,diff_no_box
avg_npc_1688_1,avg,avg_npc_1688_1$1.png,face置信度不足(0.676<=0.8),True,0.6756,True,0.9131,"[1024, 1024]",,,,5,5
avg_npc_168_1,avg,avg_npc_168_1.png,face置信度不足(0.672<=0.8),True,0.6722,True,0.9007,"[1024, 1024]",,,,6,6
avg_npc_1690_1,avg,avg_npc_1690_1$1.png,head置信度不足(0.555<=0.7),True,0.8585,True,0.555,"[1536, 1536]",,,,26,26
avg_npc_1690_1,avg,avg_npc_1690_1$2.png,head置信度不足(0.618<=0.7),True,0.8293,True,0.6179,"[1536, 1536]",,,,26,26
avg_npc_1691_1,avg,avg_npc_1691_1$1.png,face未检出,False,,True,0.8917,"[1225, 1225]",,,,4,4
avg_npc_1697_1,avg,avg_npc_1697_1$1.png,face置信度不足(0.500<=0.8),True,0.4996,True,0.8958,"[1428, 1428]",,,,11,11
avg_npc_1698_1,avg,avg_npc_1698_1$1.png,face置信度不足(0.514<=0.8),True,0.514,True,0.9062,"[1450, 1450]",,,,7,7
avg_npc_1720_1,avg,avg_npc_1720_1$1.png,face未检出; head未检出,False,,False,,"[1070, 1070]",,,,4,4
avg_npc_1721_1,avg,avg_npc_1721_1$1.png,face置信度不足(0.455<=0.8),True,0.4546,True,0.8967,"[1100, 1100]",,,,0,0
avg_npc_1722_1,avg,avg_npc_1722_1$1.png,face未检出,False,,True,0.8948,"[1100, 1100]",,,,0,0
avg_npc_1725_1,avg,avg_npc_1725_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1726_1,avg,avg_npc_1726_1$1.png,face未检出; head未检出,False,,False,,"[512, 512]",,,,2,2
avg_npc_1727_1,avg,avg_npc_1727_1$1.png,face未检出; head置信度不足(0.413<=0.7),False,,True,0.4132,"[1080, 1080]",,,,0,0
avg_npc_1728_1,avg,avg_npc_1728_1$1.png,face未检出; head未检出,False,,False,,"[1120, 1120]",,,,0,0
avg_npc_173,avg,avg_npc_173.png,face置信度不足(0.308<=0.8); head置信度不足(0.473<=0.7),True,0.3084,True,0.4726,"[1024, 1024]",,,,0,0
avg_npc_174,avg,avg_npc_174.png,face置信度不足(0.524<=0.8),True,0.5242,True,0.8902,"[1024, 1024]",,,,0,0
avg_npc_1752_1,avg,avg_npc_1752_1$1.png,face置信度不足(0.525<=0.8),True,0.5252,True,0.9168,"[1024, 1024]",,,,5,5
avg_npc_1756_1,avg,avg_npc_1756_1$1.png,face置信度不足(0.620<=0.8),True,0.6195,True,0.9106,"[1024, 1024]",,,,5,5
avg_npc_176,avg,avg_npc_176.png,face未检出,False,,True,0.8921,"[1024, 1024]",,,,0,0
avg_npc_1777_1,avg,avg_npc_1777_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1778_1,avg,avg_npc_1778_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1781_1,avg,avg_npc_1781_1$1.png,face置信度不足(0.561<=0.8),True,0.5614,True,0.9014,"[1024, 1024]",,,,4,4
avg_npc_1785_1,avg,avg_npc_1785_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1786_1,avg,avg_npc_1786_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1787_1,avg,avg_npc_1787_1$1.png,face未检出; head置信度不足(0.579<=0.7),False,,True,0.5786,"[1024, 1024]",,,,0,0
avg_npc_1788_1,avg,avg_npc_1788_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1789_1,avg,avg_npc_1789_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1790_1,avg,avg_npc_1790_1$1.png,face未检出; head置信度不足(0.652<=0.7),False,,True,0.6522,"[512, 512]",,,,0,0
avg_npc_1791_1,avg,avg_npc_1791_1$1.png,face未检出; head未检出,False,,False,,"[512, 512]",,,,0,0
avg_npc_1792_1,avg,avg_npc_1792_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1794_1,avg,avg_npc_1794_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_182,avg,avg_npc_182_1.png,face置信度不足(0.546<=0.8),True,0.5464,True,0.9,"[1024, 1024]",,,,6,6
avg_npc_1829_1,avg,avg_npc_1829_1$1.png,face置信度不足(0.585<=0.8),True,0.5848,True,0.881,"[1484, 1484]",,,,12,12
avg_npc_184,avg,avg_npc_184.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1840_1,avg,avg_npc_1840_1$1.png,face置信度不足(0.320<=0.8),True,0.3197,True,0.8931,"[1586, 1586]",,,,11,11
avg_npc_1848_1,avg,avg_npc_1848_1$1.png,face未检出,False,,True,0.8249,"[1152, 1152]",,,,0,0
avg_npc_185,avg,avg_npc_185.png,head未检出,True,0.819,False,,"[1024, 1024]",,,,0,0
avg_npc_186,avg,avg_npc_186.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_1869_1,avg,avg_npc_1869_1$1.png,face置信度不足(0.617<=0.8),True,0.6169,True,0.8788,"[1612, 1612]",,,,11,11
avg_npc_1870_1,avg,avg_npc_1870_1$1.png,face未检出; head未检出,False,,False,,"[1204, 1204]",,,,0,0
avg_npc_1872_1,avg,avg_npc_1872_1$1.png,face置信度不足(0.604<=0.8),True,0.6035,True,0.8737,"[1456, 1456]",,,,10,10
avg_npc_1875_1,avg,avg_npc_1875_1$1.png,face未检出,False,,True,0.7472,"[512, 512]",,,,0,0
avg_npc_1895_1,avg,avg_npc_1895_1$1.png,face置信度不足(0.760<=0.8),True,0.7603,True,0.869,"[1456, 1456]",,,,11,11
avg_npc_1903_1,avg,avg_npc_1903_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,3,3
avg_npc_1904_1,avg,avg_npc_1904_1$1.png,face未检出; head未检出,False,,False,,"[512, 512]",,,,0,0
avg_npc_1904_1,avg,avg_npc_1904_1$2.png,face未检出; head未检出,False,,False,,"[512, 512]",,,,0,0
avg_npc_1904_1,avg,avg_npc_1904_1$3.png,face未检出; head未检出,False,,False,,"[512, 512]",,,,0,0
avg_npc_1905_1,avg,avg_npc_1905_1$1.png,face未检出; head未检出,False,,False,,"[1084, 1084]",,,,0,0
avg_npc_1906_1,avg,avg_npc_1906_1$1.png,face置信度不足(0.388<=0.8),True,0.3878,True,0.9036,"[1328, 1328]",,,,0,0
avg_npc_1916_1,avg,avg_npc_1916_1$1.png,face未检出,False,,True,0.8926,"[1316, 1316]",,,,0,0
avg_npc_1917_1,avg,avg_npc_1917_1$1.png,face置信度不足(0.776<=0.8),True,0.7759,True,0.7714,"[1316, 1316]",,,,0,0
avg_npc_1919_1,avg,avg_npc_1919_1$1.png,face未检出,False,,True,0.8729,"[1228, 1228]",,,,0,0
avg_npc_193,avg,avg_npc_193.png,face置信度不足(0.646<=0.8),True,0.6461,True,0.8987,"[1024, 1024]",,,,0,0
avg_npc_1937_1,avg,avg_npc_1937_1$1.png,face未检出; head未检出,False,,False,,"[512, 512]",,,,5,5
avg_npc_1938_1,avg,avg_npc_1938_1$1.png,face未检出,False,,True,0.763,"[1198, 1198]",,,,4,4
avg_npc_194,avg,avg_npc_194.png,face置信度不足(0.522<=0.8),True,0.5224,True,0.8993,"[1024, 1024]",,,,0,0
avg_npc_195,avg,avg_npc_195.png,face置信度不足(0.564<=0.8),True,0.5637,True,0.9077,"[1024, 1024]",,,,0,0
avg_npc_1962_1,avg,avg_npc_1962_1$1.png,face未检出; head未检出,False,,False,,"[1280, 1280]",,,,4,4
avg_npc_1964_1,avg,avg_npc_1964_1$1.png,face未检出; head未检出,False,,False,,"[1044, 1044]",,,,0,0
